Category,Technique,RR@1,RD@1,RP@1
natgen,humaneval_DeadCodeInserter_s0_eval_results.json,0.16463414634146342,-0.02400000000000002,0.7804878048780488
natgen,humaneval_VarRenamerCB_s0_eval_results.json,0.20121951219512196,-0.02400000000000002,0.7804878048780488
natgen,humaneval_VarRenamerRN_s0_eval_results.json,0.17073170731707318,-0.06400000000000006,0.8109756097560976
natgen,humaneval_ForWhileTransformer_s0_eval_results.json,0.17073170731707318,-0.016000000000000014,0.774390243902439
natgen,humaneval_OperandSwap_s0_eval_results.json,0.17073170731707318,-0.04800000000000004,0.7987804878048781
natgen,humaneval_VarRenamerNaive_s0_eval_results.json,0.15853658536585366,-0.04800000000000004,0.7987804878048781
func_name,humaneval_FuncRenameCamelCase_s0,0.573170731707317,0.7520000000000001,0.18902439024390244
func_name,humaneval_FuncRenameChangeChar_s0,0.573170731707317,0.7360000000000001,0.20121951219512196
func_name,humaneval_FuncRenameSynonymSub_s0,0.0,0.0,0.7621951219512195
func_name,humaneval_FuncRenameSwapChar_s0,0.17682926829268292,0.21600000000000005,0.5975609756097561
func_name,humaneval_FuncRenameButterFinger_s0,0.4329268292682927,0.5519999999999999,0.34146341463414637
func_name,humaneval_FuncRenameChangeChar_s0.raw,0.5304878048780488,0.68,0.24390243902439024
func_name,humaneval_FuncRenameInflectionalVariation_s0.raw,0.4146341463414634,0.544,0.3475609756097561
func_name,humaneval_FuncRenameCamelCase_s0.raw,0.573170731707317,0.7520000000000001,0.18902439024390244
func_name,humaneval_FuncRenameSynonymSub_s0.raw,0.0,0.0,0.7621951219512195
func_name,humaneval_FuncRenameInflectionalVariation_s0,0.4146341463414634,0.544,0.3475609756097561
func_name,humaneval_FuncRenameSwapChar_s0.raw,0.10975609756097561,0.12799999999999997,0.6646341463414634
func_name,humaneval_FuncRenameButterFinger_s0.raw,0.3597560975609756,0.456,0.4146341463414634
format,humaneval_split_lines_s0_eval_results.json,0.09146341463414634,-0.008000000000000007,0.7682926829268293
format,humaneval_tab_indent_s0_eval_results.json,0.054878048780487805,-0.008000000000000007,0.7682926829268293
format,humaneval_new_lines_s0_eval_results.json,0.042682926829268296,0.008000000000000007,0.7560975609756098
format,humaneval_doc2comments_s0_eval_results.json,0.11585365853658537,-0.02400000000000002,0.7804878048780488
format,humaneval_new_line_afterdoc_s0_eval_results.json,0.036585365853658534,-0.03200000000000003,0.7865853658536586
format,humaneval_new_line_aftercode_s0_eval_results.json,0.0,0.0,0.7621951219512195
nlaugmenter,humaneval_SynonymInsertion_s0_eval_results.json,0.1524390243902439,0.05600000000000005,0.7195121951219512
nlaugmenter,humaneval_WhitespacePerturbation_s0_eval_results.json,0.1524390243902439,-0.008000000000000007,0.7682926829268293
nlaugmenter,humaneval_TenseTransformationFuture_s0_eval_results.json,0.16463414634146342,0.05600000000000005,0.7195121951219512
nlaugmenter,humaneval_BackTranslation_s0_eval_results.json,0.16463414634146342,0.008000000000000007,0.7560975609756098
nlaugmenter,humaneval_SwapCharactersPerturbation_s0_eval_results.json,0.12804878048780488,-0.008000000000000007,0.7682926829268293
nlaugmenter,humaneval_EnglishInflectionalVariation_s0_eval_results.json,0.17682926829268292,0.05600000000000005,0.7195121951219512
nlaugmenter,humaneval_ButterFingersPerturbation_s0_eval_results.json,0.18292682926829268,0.04800000000000004,0.725609756097561
nlaugmenter,humaneval_TenseTransformationPast_s0_eval_results.json,0.1402439024390244,0.02400000000000002,0.7439024390243902
nlaugmenter,humaneval_ChangeCharCase_s0_eval_results.json,0.2073170731707317,0.11199999999999995,0.676829268292683
