Category,Technique,RR@1,RD@1,RP@1
natgen,humaneval_DeadCodeInserter_s0_eval_results.json,0.18902439024390244,0.008849557522123741,0.6829268292682927
natgen,humaneval_VarRenamerCB_s0_eval_results.json,0.2073170731707317,-0.03539823008849561,0.7134146341463414
natgen,humaneval_VarRenamerRN_s0_eval_results.json,0.17073170731707318,-0.07079646017699122,0.7378048780487805
natgen,humaneval_ForWhileTransformer_s0_eval_results.json,0.18902439024390244,-0.02654867256637171,0.7073170731707317
natgen,humaneval_OperandSwap_s0_eval_results.json,0.16463414634146342,-0.04424778761061951,0.7195121951219512
natgen,humaneval_VarRenamerNaive_s0_eval_results.json,0.17682926829268292,-0.02654867256637171,0.7073170731707317
func_name,humaneval_FuncRenameCamelCase_s0,0.5060975609756098,0.7345132743362832,0.18292682926829268
func_name,humaneval_FuncRenameChangeChar_s0,0.5304878048780488,0.7168141592920354,0.1951219512195122
func_name,humaneval_FuncRenameSynonymSub_s0,0.0,0.0,0.6890243902439024
func_name,humaneval_FuncRenameSwapChar_s0,0.18292682926829268,0.21238938053097334,0.5426829268292683
func_name,humaneval_FuncRenameButterFinger_s0,0.40853658536585363,0.5221238938053097,0.32926829268292684
func_name,humaneval_FuncRenameChangeChar_s0.raw,0.4878048780487805,0.6548672566371682,0.23780487804878048
func_name,humaneval_FuncRenameInflectionalVariation_s0.raw,0.36585365853658536,0.5309734513274336,0.3231707317073171
func_name,humaneval_FuncRenameCamelCase_s0.raw,0.5060975609756098,0.7345132743362832,0.18292682926829268
func_name,humaneval_FuncRenameSynonymSub_s0.raw,0.0,0.0,0.6890243902439024
func_name,humaneval_FuncRenameInflectionalVariation_s0,0.36585365853658536,0.5309734513274336,0.3231707317073171
func_name,humaneval_FuncRenameSwapChar_s0.raw,0.12804878048780488,0.11504424778761058,0.6097560975609756
func_name,humaneval_FuncRenameButterFinger_s0.raw,0.3475609756097561,0.43362831858407075,0.3902439024390244
format,humaneval_split_lines_s0_eval_results.json,0.09146341463414634,-0.02654867256637171,0.7073170731707317
format,humaneval_tab_indent_s0_eval_results.json,0.04878048780487805,0.0,0.6890243902439024
format,humaneval_new_lines_s0_eval_results.json,0.04878048780487805,0.0,0.6890243902439024
format,humaneval_doc2comments_s0_eval_results.json,0.11585365853658537,-0.02654867256637171,0.7073170731707317
format,humaneval_new_line_afterdoc_s0_eval_results.json,0.042682926829268296,-0.04424778761061951,0.7195121951219512
format,humaneval_new_line_aftercode_s0_eval_results.json,0.0,0.0,0.6890243902439024
nlaugmenter,humaneval_SynonymInsertion_s0_eval_results.json,0.16463414634146342,0.04424778761061935,0.6585365853658537
nlaugmenter,humaneval_WhitespacePerturbation_s0_eval_results.json,0.18902439024390244,-0.008849557522123902,0.6951219512195121
nlaugmenter,humaneval_TenseTransformationFuture_s0_eval_results.json,0.16463414634146342,0.04424778761061935,0.6585365853658537
nlaugmenter,humaneval_BackTranslation_s0_eval_results.json,0.16463414634146342,0.026548672566371546,0.6707317073170732
nlaugmenter,humaneval_SwapCharactersPerturbation_s0_eval_results.json,0.14634146341463414,0.0,0.6890243902439024
nlaugmenter,humaneval_EnglishInflectionalVariation_s0_eval_results.json,0.15853658536585366,0.05309734513274325,0.6524390243902439
nlaugmenter,humaneval_ButterFingersPerturbation_s0_eval_results.json,0.18292682926829268,0.03539823008849545,0.6646341463414634
nlaugmenter,humaneval_TenseTransformationPast_s0_eval_results.json,0.1402439024390244,0.026548672566371546,0.6707317073170732
nlaugmenter,humaneval_ChangeCharCase_s0_eval_results.json,0.1951219512195122,0.14159292035398227,0.5914634146341463
